id,title,company,location,salary_min,salary_max,site,job_url,date_posted,date_scraped
1,ING. EN PROCESOS DE CALIDAD,Comercializadora DIEM,"Irapuato, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=7144c58a3d9ed977,2026-01-15,2026-01-16 10:45:44
2,STAFF DE INSPECCIÓN MAQUINADO,ASAHI ALUMINIUM MEXICO,"Parque Industrial Santa Fe, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=400d971a042b09e2,2026-01-15,2026-01-16 10:45:44
3,INSPECTOR DE CALIDAD,Comercializadora DIEM,"Irapuato, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=a72e0c2d1b8ac2bf,2026-01-15,2026-01-16 10:45:44
4,INGENIERO INDUSTRIAL CON CONOCIMIENTOS EN PRIMEROS AUXILIOS,COMUNILAB,"Celaya, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=dab88634c9dedd92,2026-01-15,2026-01-16 10:45:44
5,INGENIERO DE PRODUCTO LEON GTO,DIEM S.A.S,"León, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=767f44deb0ec90a0,2026-01-15,2026-01-16 10:45:44
6,ING. DE OPERACIONES PINTURA Y ACABADO,GPA Grupo Plasma Automation,"El Dorado, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=c26b04d9d1d08c9d,2026-01-15,2026-01-16 10:45:44
7,ASISTENTE DE CONTROL INTERNO E INVENTARIOS,Serviacero Tubulares,"Central de Abastos, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=80f42cb02172e045,2026-01-15,2026-01-16 10:45:44
8,INGENIERO INDUSTRIAL CON CONOCIMIENTOS EN PRIMEROS AUXILIOS,COMUNILAB,"Celaya, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=c557e6cb772a40c4,2026-01-15,2026-01-16 10:45:44
9,JEFE DE OPERACIONES Y RECLUTAMIENTO,DK SERVICIOS OPERATIVOS SA DE CV,"León, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=19545ea883447a24,2026-01-15,2026-01-16 10:45:44
10,INGENIERO MES,People And Growth,"Silao, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=db3285f0a4ad9275,2026-01-14,2026-01-16 10:45:44
